image,mse,psnr,mse_hvs,psnrhvs,mse_hvs_m,psnrhvsm,cr,msssim,QS
wrist.png,26.076309204101562,33.968342387513744,26.162279936000044,33.954047725735435,13.22901017774578,36.915530102877206,0.9254672036303225,0.9663687918258019,1
wrist.png,26.55077362060547,33.89003181052486,26.67816627648878,33.86924385824714,13.510308229092274,36.82415103580377,1.3856390700915584,0.9658891637682793,3
wrist.png,26.983352661132812,33.81984451418984,27.349876451079652,33.76124992053508,13.895922346844012,36.70192982345346,1.7924554286858974,0.9652896998598449,5
wrist.png,27.28223419189453,33.77200428260283,27.985543701119028,33.66146612101414,14.290299884742215,36.58039018226541,2.191309272354364,0.9650699228835572,7
wrist.png,27.38991928100586,33.75489608492204,28.267871518951825,33.617872521440404,14.451036627485166,36.53181359072999,2.6112975595520376,0.9651943047288125,9
wrist.png,26.392391204833984,33.916016208934636,28.01099508328492,33.657518235722456,14.292766364845406,36.57964066246802,3.081510977184675,0.9664748450419602,11
wrist.png,23.15935516357422,34.483538979023294,26.183005701394197,33.95060860570594,13.339002185664082,36.87957017154523,3.688160131897573,0.9708162612472749,13
wrist.png,18.178913116455078,35.535124468684614,23.06307580839121,34.50163134338858,11.75221465475182,37.42960645604187,4.561492385139871,0.9772666659677787,15
wrist.png,13.690998077392578,36.76645251396881,20.452123896025263,35.02341945911928,10.47680810222039,37.928513716111084,6.043096534548985,0.9827505355038375,17
wrist.png,10.837638854980469,37.78145686040808,19.021251257968533,35.33841278521126,9.902089273583023,38.173535234160006,8.581610022178266,0.986352289461519,19
wrist.png,9.55600357055664,38.3280405751791,18.737198598927503,35.403757008888476,9.901560030798109,38.17376736028747,11.54945143594708,0.9881410056678852,21
wrist.png,9.0670166015625,38.55615949950995,18.70601413818371,35.410991026144735,10.000674666342015,38.130510614693186,14.762528356362136,0.9888248686470815,23
wrist.png,9.067977905273438,38.555699075993054,19.309461584807362,35.27310196565839,10.525599080552722,37.908335371227764,17.525645733871954,0.9890119472204782,25
wrist.png,9.394672393798828,38.40198720661924,20.398170641905125,35.03489140292523,11.308673046814418,37.596687128173976,20.175732807215333,0.9886860224424123,27
wrist.png,9.732315063476562,38.248642010001596,21.451127103700344,34.81630244670821,12.11343131669438,37.29813179671618,23.02830947402284,0.9883716222868599,29
wrist.png,10.197277069091797,38.045961412373536,22.83016352168483,34.5457133872016,13.047519288264713,36.975524133185125,25.91257918552036,0.9878991694540279,31
wrist.png,10.649948120117188,37.857328686989476,24.315613671372144,34.27195126209962,14.111490279617145,36.63507479924523,28.456966805804015,0.987414452677238,33
wrist.png,11.047271728515625,37.69825324434917,25.665358467959585,34.037330264394676,15.087367285422578,36.344668979754054,30.88157894736842,0.9869286708516992,35
wrist.png,11.464855194091797,37.53711787087956,27.051475118946676,33.808894086692625,16.09872489686286,36.06288881866277,33.27143853125726,0.9864804272644354,37
wrist.png,12.099613189697266,37.303088742097415,29.04697321221,33.49979476662083,17.666035064219113,35.659412727619426,35.498884205306226,0.9855808515450031,39
wrist.png,12.493759155273438,37.163872311599334,30.32955034581931,33.31214389191504,18.548894537892057,35.447623288790744,37.955196182396605,0.9851053363379255,41
wrist.png,13.112579345703125,36.95392231693234,32.36227528464506,33.03041313044216,20.22122868113587,35.07272820234816,40.22674908682214,0.9841236191525651,43
wrist.png,13.534847259521484,36.81627001738206,33.67091013360442,32.85825505226478,21.10560635887106,34.886825270247755,42.55856123662307,0.9836208547043576,45
wrist.png,14.1693115234375,36.61731612161454,35.90772213071831,32.57892505099586,22.911487253033506,34.53027079412194,44.964510050251256,0.9826258555844428,47
wrist.png,14.558246612548828,36.49971288936864,37.22745838555131,32.42216974040044,23.8574023227914,34.35457206457898,47.39059913935783,0.9822865913147608,49
